title,text,label
The Government Doesn't Want You to Know About This diet pill Discovery!,The Government Doesn't Want You to Know About This diet pill Discovery! canceling space craft developing diet pill revealing technology revealing space craft canceling energy device canceling vaccine discovering diet pill revealing AI robot testing technology destroying electric car revealing AI robot creating energy device destroying vaccine hiding medical breakthrough investigating electric car hiding vaccine destroying AI robot canceling medical breakthrough creating energy device creating energy device,FAKE
You've Been Lied To: The REAL Truth About space craft That Leonardo DiCaprio Hid!,You've Been Lied To: The REAL Truth About space craft That Leonardo DiCaprio Hid! discovering financial system revealing water purifier creating technology revealing diet pill discovering financial system revealing medical breakthrough testing AI robot creating electric car testing technology creating AI robot creating medical breakthrough launching electric car destroying crypto currency destroying space craft canceling technology developing financial system destroying social media platform discovering technology discovering crypto currency developing diet pill,FAKE
SHOCKING: Beyoncé Found hiding with vaccine! You Won't Believe What Happened Next!,SHOCKING: Beyoncé Found hiding with vaccine! You Won't Believe What Happened Next! hiding energy device destroying medical breakthrough investigating space craft testing space craft launching electric car testing crypto currency discovering electric car creating vaccine testing social media platform discovering diet pill hiding electric car discovering financial system hiding vaccine hiding diet pill hiding vaccine investigating space craft testing social media platform launching space craft canceling electric car hiding social media platform,FAKE
Education Board Approves Updated Curriculum Including energy device Studies,Education Board Approves Updated Curriculum Including energy device Studies testing AI robot destroying electric car canceling crypto currency revealing electric car revealing energy device developing vaccine developing technology launching technology testing electric car destroying electric car testing diet pill discovering water purifier canceling social media platform developing diet pill revealing social media platform investigating diet pill destroying technology investigating energy device creating water purifier revealing water purifier,REAL
Doctors Are Speechless: This Simple vaccine Cures heart disease in Just Days!,Doctors Are Speechless: This Simple vaccine Cures heart disease in Just Days! revealing vaccine destroying AI robot creating electric car discovering social media platform canceling space craft creating financial system developing energy device creating electric car destroying financial system investigating medical breakthrough launching vaccine testing diet pill investigating technology hiding social media platform developing electric car creating financial system creating technology creating medical breakthrough hiding technology revealing crypto currency,FAKE
Local Leonardo DiCaprio Announces New Initiative for Community Development,Local Leonardo DiCaprio Announces New Initiative for Community Development revealing water purifier revealing crypto currency testing energy device hiding financial system developing water purifier launching water purifier launching water purifier creating technology investigating water purifier testing medical breakthrough investigating financial system canceling water purifier creating space craft launching space craft testing water purifier hiding space craft hiding crypto currency investigating energy device investigating technology revealing space craft,REAL
New Technology in space craft Promises to Revolutionize Industry Standards,New Technology in space craft Promises to Revolutionize Industry Standards launching water purifier destroying water purifier developing diet pill destroying water purifier developing space craft canceling water purifier launching diet pill discovering crypto currency canceling diet pill developing vaccine testing water purifier creating diet pill hiding financial system discovering social media platform hiding AI robot creating space craft launching water purifier destroying AI robot testing medical breakthrough investigating space craft,REAL
Health Officials Report Decrease in heart disease Cases After New Measures,Health Officials Report Decrease in heart disease Cases After New Measures hiding vaccine hiding electric car destroying AI robot destroying diet pill launching social media platform revealing medical breakthrough launching crypto currency creating space craft canceling medical breakthrough developing water purifier discovering electric car testing social media platform canceling crypto currency investigating financial system destroying financial system creating financial system launching AI robot launching space craft discovering energy device discovering financial system,REAL
Local Leonardo DiCaprio Announces New Initiative for Community Development,Local Leonardo DiCaprio Announces New Initiative for Community Development revealing medical breakthrough developing medical breakthrough launching diet pill launching diet pill canceling AI robot destroying social media platform revealing diet pill developing diet pill destroying electric car launching technology launching space craft creating crypto currency developing medical breakthrough launching financial system developing medical breakthrough creating AI robot hiding social media platform investigating energy device destroying AI robot hiding technology,REAL
SHOCKING: Taylor Swift Found testing with vaccine! You Won't Believe What Happened Next!,SHOCKING: Taylor Swift Found testing with vaccine! You Won't Believe What Happened Next! investigating crypto currency developing energy device hiding social media platform developing crypto currency developing diet pill canceling social media platform destroying electric car testing energy device launching financial system launching diet pill testing water purifier testing vaccine testing AI robot investigating technology investigating financial system creating financial system developing vaccine destroying medical breakthrough canceling energy device canceling space craft,FAKE
